a	ə
sabonets	s ə . β u . n ˈɛ t s
s'aboquen	s ə . b ˈɔ . k ə n
sabor	s ə . b ˈo ɾ
sabríem	s ə . β ɾ ˈi . ə m
sabràs	s ə . β ɾ ˈa s
sabria	s ə . β ɾ ˈi . ə
sabut	s ə . β ˈu t
saca	s ˈa . k ə
s'acaba	s ə . k ˈa . β ə
s'acabava	s ə . k ə . β ˈa . b ə
s'acaben	s ə . k ˈa . β ə n
s'acabi	s ə . k ˈa . β i
s'accedeix	s ə k . s ə . d ˈɛ ʃ
s'accelera	s ə k . s ə . l ˈe . ɾ ə
s'acceptaran	s ə k . s ə p . t ə . ɾ ˈa n
s'accepten	s ə k . s ˈe p . t ə n
sacerdot	s ə . s ə ɾ . d ˈɔ t
s'aconsegueix	s ə . k u n . s ə . g ˈɛ ʃ
s'acosta	s ə . k ˈɔ s . t ə
s'acostava	s ə . k u s . t ˈa . b ə
sacrificant	s ə . k ɾ i . f i . k ˈa n 
sacrificat	s ə . k ɾ i . f i . k ˈa t
sacrificats	s ə . k ɾ i . f i . k ˈa t s
sacrificis	s ə . k ɾ i . f ˈi . s i s
sacseja	s ə k . s ˈɛ . ʒ ə
sacsejant	s ə k . s ə . ʒ ˈa n 
s'activa	s ə k . t ˈi . β ə
s'acumulen	s ə . k u . m ˈu . l ə n
s'adona	s ə . d ˈo . n ə
s'adonà	s ə . ð u . n ˈa
s'adonen	s ə . d ˈo . n ə n
s'adonessin	s ə . ð u . n ˈe . s i n
s'adonin	s ə . d ˈo . n i n
s'adreça	s ə . ð ɾ ˈe . s ə
safata	s ə . f ˈa . t ə
s'aferrava	s ə . f ə . r ˈa . b ə
s'agafa	s ə . ɣ ˈa . f ə
s'agafen	s ə . ɣ ˈa . f ə n
s'agita	s ə . ʒ ˈi . t ə
sagnant	s ə g . n ˈa n 
sagrada	s ə . ɣ ɾ ˈa . ð ə
sagrat	s ə . ɣ ɾ ˈa t
s'agrupen	s ə . ɣ ɾ ˈu . p ə n
s'aguanta	s ə . ɣ w ˈa n . t ə
s'aguanten	s ə . ɣ w ˈa n . t ə n
s'aguanti	s ə . ɣ w ˈa n . t i
sahrauí	s ə ɾ ə . w ˈi
s'aixeca	s ə ʃ ˈɛ . k ə
s'aixecava	s ə ʃ ə . k ˈa . b ə
s'aixecà	s ə ʃ ə . k ˈa
s'aixequen	s ə ʃ ˈɛ . k ə n
s'aixequi	s ə ʃ ˈɛ . k i
s'ajuntarien	s ə . ʒ u n . t ə . ɾ ˈi . ə n
s'ajup	s ə . ʒ ˈu p
s'ajusten	s ə . ʒ ˈu s . t ə n
s'ajusti	s ə . ʒ ˈu s . t i
sal	s ˈa l
sala	s ˈa . l ə
saló	s ə . l ˈo
s'alça	s ˈa l . s ə
s'alçaven	s ə l . s ˈa . b ə n
salada	s ə . l ˈa . ð ə
salamanca	s ə . l ə . m ˈa n . k ə
salari	s ə . l ˈa . ɾ i
s'alcen	s ˈa l . s ə n
saldo	s ˈa l . d u
sales	s ˈa . l ə s
saleta	s ə . l ˈɛ . t ə
s'alimenta	s ə . l i . m ˈe n . t ə
s'alimenten	s ə . l i . m ˈe n . t ə n
saliva	s ə . l ˈi . β ə
s'allotgen	s ə . ʎ ˈɔ d . ʒ ə n
s'allotja	s ə . ʎ ˈɔ t . ʒ ə
s'allunya	s ə . ʎ ˈu . ɲ ə
s'allunyaven	s ə . ʎ u . ɲ ˈa . b ə n
salmó	s ə l . m ˈo
salou	s ə . l ˈɔ w
salpebra	s ə l . p ˈɛ . b ɾ ə
salsa	s ˈa l . s ə
salsitxes	s ə l . s ˈi t . ʃ ə s
salt	s ˈa l 
salta	s ˈa l . t ə
saltar	s ə l . t ˈa
saltaran	s ə l . t ə . ɾ ˈa n
saltar-nos	s ə l . t ˈa ɾ n u s
saltar-se	s ə l . t ˈa ɾ s ə
saltets	s ə l . t ˈɛ t s
salts	s ˈa l s
saluda	s ə . l ˈu . ð ə
saludables	s ə . l u . ð ˈa . β l ə s
saludant	s ə . l u . ð ˈa n 
saludar-me	s ə . l u . ð ˈa ɾ m ə
saludava	s ə . l u . ð ˈa . b ə
saluden	s ə . l ˈu . ð ə n
saludo	s ə . l ˈu . ð u
salut	s ə . l ˈu t
salutació	s ə . l u . t ə . s i . ˈo
salutacions	s ə . l u . t ə . s i . ˈo n s
salva	s ˈa l . b ə
salvaguardar	s ə l . b ə . ɣ w ə ɾ . d ˈa
salvar	s ə l . b ˈa
salvar-la	s ə l . b ˈa ɾ l ə
salvat	s ə l . b ˈa t
salvatjades	s ə l . b ə t . ʒ ˈa . ð ə s
sílvia	s ˈi l . b i . ə
salzes	s ˈa l . z ə s
sam	s ˈa m
s'amagava	s ə . m ə . ɣ ˈa . b ə
s'amaguessin	s ə . m ə . g ˈe . s i n
samarreta	s ə . m ə . r ˈɛ . t ə
samarreta-record	s ə . m ə . r ˈɛ . t ə_record
samarreta-record	s ə . m ə . r ˈɛ . t ə_r ə . k ˈɔ ɾ t
samarretes	s ə . m ə . r ˈɛ . t ə s
símbol	s ˈi m . b u l
símbols	s ˈi m . b u l s
samland	s ə m . l ˈa n 
s'ampliï	s ə m . p l ˈi . ˈi
s'anava	s ə . n ˈa . b ə
s'anaven	s ə . n ˈa . b ə n
sandalies	s ə n . d ə . l ˈi . ə s
sandàlies	s ə n . d ˈa . l i . ə s
síndic	s ˈi n . d i k
síndics	s ˈi n . d i k s
sandra	s ˈa n . d ɾ ə
sandvitx	s ə n d . b ˈi t ʃ
sanefa	s ə . n ˈe . f ə
sanefes	s ə . n ˈe . f ə s
sanejament	s ə . n ə . ʒ ə . m ˈe n
sang	s ˈa ŋ
sanitàries	s ə . n i . t ˈa . ɾ i . ə s
s'anomena	s ə . n u . m ˈɛ . n ə
sant	s ˈa n 
santa	s ˈa n . t ə
santander	s a n . t a n . d ˈe ɾ
santer	s ə n . t ˈe
síntesi	s ˈi n . t ə . z i
santi	s ˈa n . t i
santiago	s ə n . t i . ˈa . g o
sants	s ˈa n s
sants-montjuïc	s ˈa n s_montjuïc
sants-montjuïc	s ˈa n s_m u n ʒ u . ˈi k
sao	s ˈa . u
súbdits	s ˈu b . d i t s
súpers	s ˈu . p ə s
sap	s ˈa p
s'apaga	s ə . p ˈa . ɣ ə
s'aparta	s ə . p ˈa ɾ . t ə
sapes	s ˈa . p ə s
sapiens	s ə . p i . ˈɛ n s
s'apilonen	s ə . p i . l ˈo . n ə n
s'aplicarà	s ə . p l i . k ə . ɾ ˈa
s'apliquen	s ə . p l ˈi . k ə n
s'apliqui	s ə . p l ˈi . k i
s'aprèn	s ə . p ɾ ˈɛ n
s'aprofiten	s ə . p ɾ u . f ˈi . t ə n
s'apropa	s ə . p ɾ ˈo . p ə
saps	s ˈa p s
saqueig	s ə k ˈɛ t ʃ
saquejadors	s ə . k ə . ʒ ə . d ˈo s
sara	s ˈa . ɾ ə
saragossa	s ə . ɾ ə . g ˈɔ . s ə
sarcòfag	s ə ɾ . k ˈɔ . f ə k
sardana	s ə ɾ . d ˈa . n ə
sardanes	s ə ɾ . d ˈa . n ə s
sardina	s ə ɾ . d ˈi . n ə
sarganta	s ə ɾ . g ˈa n . t ə
sargantana	s ə ɾ . g ə n . t ˈa . n ə
sargantanes	s ə ɾ . g ə n . t ˈa . n ə s
sèriament	s ˈɛ . ɾ i . ə . m ˈe n 
sèrie	s ˈɛ . ɾ i . ə
sèries	s ˈɛ . ɾ i . ə s
sarrià	s ə . r i . ˈa
s'arriba	s ə . r ˈi . β ə
s'arribarà	s ə . r i . β ə . ɾ ˈa
s'arribi	s ə . r ˈi . β i
s'arronsa	s ə . r ˈo n . s ə
s'arrossega	s ə . r u . s ˈɛ . g ə
s'arrossegava	s ə . r u . s ə . ɣ ˈa . b ə
sarsuela	s ə ɾ . s u . ˈɛ . l ə
s'articulen	s ə ɾ . t i . k ˈu . l ə n
s'assegué	s ə . s ə . g ˈe
s'assegurà	s ə . s ə . ɣ u . ɾ ˈa
s'assembla	s ə . s ˈɛ m . b l ə
s'assemblava	s ə . s ə m . b l ˈa . b ə
s'assentava	s ə . s ə n . t ˈa . b ə
s'assenyala	s ə . s ə . ɲ ˈa . l ə
s'asseu	s ə . s ˈɛ w
s'asseuen	s ə . s ˈe . w ə n
s'assignaran	s ə . s i g . n ə . ɾ ˈa n
s'assoleixi	s ə . s u . l ˈɛ ʃ i
sastre	s ˈa s . t ɾ ə
satèl·lit	s ə . t ˈɛ . l i t
satisfacció	s ə . t i s . f ə k . s i . ˈo
satisfactòria	s ə . t i s . f ə k . t ˈɔ . ɾ i . ə
satisfactòriament	s ə . t i s . f ə k . t ˈɔ . ɾ i . ə . m ˈe n 
satisfactori	s ə . t i s . f ə k . t ˈɔ . ɾ i
satisfer	s ə . t i s . f ˈe
satisfet	s ə . t i s . f ˈe t
satisfeta	s ə . t i s . f ˈe . t ə
satisfets	s ə . t i s . f ˈe t s
s'atordeixin	s ə . t u ɾ . d ˈɛ ʃ i n
s'atrauen	s ə . t ɾ ˈa . w ə n
satriani	s ə . t ɾ i . ˈa . n i
s'atrinxeren	s ə . t ɾ i n . ʃ ˈe . ɾ ə n
s'atura	s ə . t ˈu . ɾ ə
s'aturarà	s ə . t u . ɾ ə . ɾ ˈa
saudí	s ə w . ð ˈi
s'avaluen	s ə . β ə . l ˈu . ə n
s'avergonyeix	s ə . β ə ɾ . g u . ɲ ˈɛ ʃ
s'avergonyeixin	s ə . β ə ɾ . g u . ɲ ˈɛ ʃ i n
savi	s ˈa . b i
saviesa	s ə . β i . ˈɛ . z ə
s'avorria	s ə . β u . r ˈi . ə
saxòfon	s ə k . s ˈɔ . f u n
saxo	s ˈa k . s u
sàdics	s ˈa . ð i k s
sàdiques	s ˈa . ð i . k ə s
sàpiga	s ˈa . p i . ɣ ə
sàpiguen	s ˈa . p i . g ə n
se	s ə
seattle	s e . ˈa t . l ə
sebastià	s ə . β ə s . t i . ˈa
sec	s ˈɛ k
seca	s ˈɛ . k ə
secció	s ə k . s i . ˈo
secret	s ə . k ɾ ˈe t
secretari	s ə . k ɾ ə . t ˈa . ɾ i
secretaria	s ə . k ɾ ə . t ə . ɾ ˈi . ə
secretària	s ə . k ɾ ə . t ˈa . ɾ i . ə
secretisme	s ə . k ɾ ə . t ˈi s . m ə
secrets	s ə . k ɾ ˈe t s
secs	s ˈɛ k s
secta	s ˈɛ k . t ə
sector	s ə k . t ˈo
sectors	s ə k . t ˈo s
secundari	s ə . k u n . d ˈa . ɾ i
secundaria	s ə . k u n . d ə . ɾ ˈi . ə
secundaris	s ə . k u n . d ˈa . ɾ i s
secundària	s ə . k u n . d ˈa . ɾ i . ə
seda	s ˈe . d ə
sedós	s ə . ð ˈo s
sedentari	s ə . ð ə n . t ˈa . ɾ i
sedimentaris	s ə . ð i . m ə n . t ˈa . ɾ i s
sediments	s ə . ð i . m ˈe n s
seduí	s ə . ð u . ˈi
seducció	s ə . ð u k . s i . ˈo
seductor	s ə . ð u k . t ˈo
seduir	s ə . ð u . ˈi
següent	s ə . g w ˈe n 
següents	s ə . g w ˈe n s
segarra	s ə . ɣ ˈa . r ə
segellada	s ə . ʒ ə . ʎ ˈa . ð ə
segle	s ˈe . g l ə
segles	s ˈe . g l ə s
segments	s ə g . m ˈe n s
segon	s ə . g ˈo n
segona	s ə . g ˈo . n ə
segons	s ə . g ˈo n s
segrià	s ə . ɣ ɾ i . ˈa
seguís	s ə . g ˈi s
segués	s ə . g ˈe s
segueix	s ə . g ˈɛ ʃ
segueixen	s ə . g ˈɛ ʃ ə n
segueixes	s ə . g ˈɛ ʃ ə s
segueixi	s ə . g ˈɛ ʃ i
segueixo	s ə . g ˈɛ ʃ u
segui	s ˈɛ . g i
seguia	s ə . g ˈi . ə
seguida	s ə . g ˈi . ð ə
seguidament	s ə . g ˈi . ð ə . m ˈe n 
seguidors	s ə . g i . d ˈo s
seguien	s ə . g ˈi . ə n
seguim	s ə . g ˈi m
seguiment	s ə . g i . m ˈe n
seguint	s ə . g ˈi n 
seguir	s ə . g ˈi
seguiré	s ə . g i . ɾ ˈe
seguit	s ə . g ˈi t
seguiu	s ə . g ˈi w
segur	s ə . ɣ ˈu
segura	s ə . ɣ ˈu . ɾ ə
segurament	s ə . ɣ ˈu . ɾ ə . m ˈe n 
seguretat	s ə . ɣ u . ɾ ə . t ˈa t
segurs	s ə . ɣ ˈu s
seiem	s ə . j ˈɛ m
seien	s ˈɛ . j ə n
seient	s ə . j ˈe n 
seients	s ə . j ˈe n s
seitons	s ə j . t ˈo n s
seixanta	s ə ʃ ˈa n . t ə
seixanta-cinc	s ə ʃ ˈa n . t ə_cinc
seixanta-cinc	s ə ʃ ˈa n . t ə_s ˈi n k
seixanta-dos	s ə ʃ ˈa n . t ə_dos
seixanta-dos	s ə ʃ ˈa n . t ə_d ˈo s
seixanta-dues	s ə ʃ ˈa n . t ə_dues
seixanta-dues	s ə ʃ ˈa n . t ə_d ˈu . ə s
seixanta-nou	s ə ʃ ˈa n . t ə_nou
seixanta-nou	s ə ʃ ˈa n . t ə_n ˈɔ w
seixanta-quatre	s ə ʃ ˈa n . t ə_quatre
seixanta-quatre	s ə ʃ ˈa n . t ə_k w ˈa . t ɾ ə
seixanta-set	s ə ʃ ˈa n . t ə_set
seixanta-set	s ə ʃ ˈa n . t ə_s ˈɛ t
seixanta-sis	s ə ʃ ˈa n . t ə_sis
seixanta-sis	s ə ʃ ˈa n . t ə_s ˈi s
seixanta-tres	s ə ʃ ˈa n . t ə_tres
seixanta-tres	s ə ʃ ˈa n . t ə_t ɾ ˈɛ s
seixanta-u	s ə ʃ ˈa n . t ə_u
seixanta-u	s ə ʃ ˈa n . t ə_ˈu
seixanta-vuit	s ə ʃ ˈa n . t ə_vuit
seixanta-vuit	s ə ʃ ˈa n . t ə_b ˈu j t
s'eixuga	s ə ʃ ˈu . ɣ ə
s'eixugava	s ə ʃ u . ɣ ˈa . b ə
se'l	s ˈe l
s'elabora	s ə . l ə . b ˈo . ɾ ə
selecció	s ə . l ə k . s i . ˈo
selecciona	s ə . l ə k . s i . ˈo . n ə
seleccionada	s ə . l ə k . s i . u . n ˈa . ð ə
seleccionar	s ə . l ə k . s i . u . n ˈa
seleccionar-ho	s ə . l ə k . s i . u . n ˈa ɾ u
seleccionat	s ə . l ə k . s i . u . n ˈa t
seleccionats	s ə . l ə k . s i . u . n ˈa t s
seleccionem	s ə . l ə k . s i . u . n ˈɛ m
selecciones	s ə . l ə k . s i . ˈo . n ə s
seleccioneu	s ə . l ə k . s i . u . n ˈɛ w
seleccioneu-los	s ə . l ə k . s i . u . n ˈe w l u s
seleccioneu-ne	s ə . l ə k . s i . u . n ˈe w n ə
seleccioni	s ə . l ə k . s i . ˈo . n i
seleccionin	s ə . l ə k . s i . ˈo . n i n
selecta	s ə . l ˈɛ k . t ə
selectiva	s ə . l ə k . t ˈi . β ə
selector	s ə . l ə k . t ˈo
s'elimina	s ə . l i . m ˈi . n ə
s'eliminarà	s ə . l i . m i . n ə . ɾ ˈa
s'eliminen	s ə . l i . m ˈi . n ə n
se'ls	s ˈe l s
selva	s ˈɛ l . b ə
selvas	s ˈɛ l . b ə s
se'm	s ˈe m
semàfor	s ə . m ˈa . f u ɾ
semàfors	s ə . m ˈa . f u ɾ s
semàntics	s ə . m ˈa n . t i k s
s'embarquen	s ə m . b ˈa ɾ . k ə n
sembla	s ˈɛ m . b l ə
semblances	s ə m . b l ˈa n . s ə s
semblant	s ə m . b l ˈa n 
semblar	s ə m . b l ˈa
semblarà	s ə m . b l ə . ɾ ˈa
semblaria	s ə m . b l ə . ɾ ˈi . ə
semblat	s ə m . b l ˈa t
semblava	s ə m . b l ˈa . b ə
semblaven	s ə m . b l ˈa . b ə n
semblen	s ˈɛ m . b l ə n
semblessin	s ə m . b l ˈe . s i n
sembli	s ˈɛ m . b l i
s'embolica	s ə m . b u . l ˈi . k ə
s'embranquen	s ə m . b ɾ ˈa n . k ə n
sembrat	s ə m . b ɾ ˈa t
s'emet	s ə . m ˈɛ t
semicircumferència	s ˌɛ . m i . s i ɾ . k u m . f ə . ɾ ˈɛ n . s i . ə
semideserta	s ˌɛ . m i . ð ə . z ˈɛ ɾ . t ə
semi-emancipada	s ˈɛ . m i_emancipada
semi-emancipada	s ˈɛ . m i_ə . m ə n . s i . p ˈa . ð ə
semifetal	s ˌɛ . m i . f ə . t ˈa l
semipública	s ˌɛ . m i . p ˈu . β l i . k ə
semitò	s ˌɛ . m i . t ˈɔ
semitons	s ˌɛ . m i . t ˈo n s
s'emmiralla	s ə m . m i . ɾ ˈa . ʎ ə
s'empetiteix	s ə m . p ə . t i . t ˈɛ ʃ
s'empitjori	s ə m . p i t . ʒ ˈɔ . ɾ i
s'emporti	s ə m . p ˈɔ ɾ . t i
sempre	s ˈe m . p ɾ ə
se'n	s ˈe n
sena	s ˈɛ . n ə
s'encallava	s ə n . k ə . ʎ ˈa . b ə
s'encén	s ə n . s ˈe n
s'encarrega	s ə n . k ə . r ˈɛ . g ə
s'encarregarà	s ə n . k ə . r ə . ɣ ə . ɾ ˈa
s'encarregaria	s ə n . k ə . r ə . ɣ ə . ɾ ˈi . ə
sencer	s ə n . s ˈe
sencera	s ə n . s ˈe . ɾ ə
s'encongia	s ə n . k u n . ʒ ˈi . ə
sender	s ə n . d ˈe
s'endinsen	s ə n . d ˈi n . s ə n
s'endugui	s ə n . d ˈu . g i
s'endureixin	s ə n . d u . ɾ ˈɛ ʃ i n
s'enduu	s ə n . d ˈu w
senegalès	s ə . n ə . ɣ ə . l ˈɛ s
s'enfadessin	s ə m . f ə . d ˈe . s i n
s'enfadi	s ə m . f ˈa . ð i
s'enfila	s ə m . f ˈi . l ə
s'enfonsava	s ə m . f u n . s ˈa . b ə
s'enfum	s ə m . f ˈu m
s'enganxen	s ə n . g ˈa n . ʃ ə n
s'engega	s ə n . ʒ ˈɛ . g ə
senglar	s ə n . g l ˈa
senglars	s ə n . g l ˈa s
s'enlairaria	s ə n . l ə j . ɾ ə . ɾ ˈi . ə
s'enreda	s ə n . r ˈe . d ə
sens	s ˈɛ n s
se'ns	s ˈe n s
sensació	s ə n . s ə . s i . ˈo
sensacional	s ə n . s ə . s i . u . n ˈa l
sense	s ˈe n . s ə
s'ensenyen	s ə n . s ˈɛ . ɲ ə n
sensibilitat	s ə n . s i . β i . l i . t ˈa t
sensibilització	s ə n . s i . β i . l i d . z ə . s i . ˈo
sensible	s ə n . s ˈi . β l ə
sensibles	s ə n . s ˈi . β l ə s
sensitiva	s ə n . s i . t ˈi . β ə
sensuals	s ə n . s u . ˈa l s
sent	s ˈe n 
sentí	s ə n . t ˈi
s'entén	s ə n . t ˈe n
sentència	s ə n . t ˈɛ n . s i . ə
sentís	s ə n . t ˈi s
sentat	s ə n . t ˈa t
senten	s ˈe n . t ə n
s'entenien	s ə n . t ə . n ˈi . ə n
sentia	s ə n . t ˈi . ə
sentien	s ə n . t ˈi . ə n
sentim	s ə n . t ˈi m
sentiment	s ə n . t i . m ˈe n
sentimental	s ə n . t i . m ə n . t ˈa l
sentimentals	s ə n . t i . m ə n . t ˈa l s
sentiments	s ə n . t i . m ˈe n s
sentin	s ˈe n . t i n
sentint	s ə n . t ˈi n 
sentint-me	s ə n . t ˈi n m ə
sentint-se	s ə n . t ˈi n s ə
sentir	s ə n . t ˈi
sentirà	s ə n . t i . ɾ ˈa
sentiria	s ə n . t i . ɾ ˈi . ə
sentir-la	s ə n . t ˈi ɾ l ə
sentir-ne	s ə n . t ˈi ɾ n ə
sentir-nos	s ə n . t ˈi ɾ n u s
sentir-se	s ə n . t ˈi ɾ s ə
sentir-te	s ə n . t ˈi ɾ t ə
sentis	s ˈe n . t i s
sentit	s ə n . t ˈi t
sentits	s ə n . t ˈi t s
sento	s ˈe n . t u
s'entregarà	s ə n . t ɾ ə . ɣ ə . ɾ ˈa
s'entrellaçaven	s ə n . t ɾ ə . ʎ ə . s ˈa . b ə n
sents	s ˈe n s
s'envia	s ə m . b ˈi . ə
seny	s ˈɛ ɲ
senyal	s ə . ɲ ˈa l
senyala	s ə . ɲ ˈa . l ə
senyalitzada	s ə . ɲ ə . l i d . z ˈa . ð ə
senyalitzar	s ə . ɲ ə . l i d . z ˈa
senyals	s ə . ɲ ˈa l s
senyor	s ə . ɲ ˈo
senyora	s ə . ɲ ˈo . ɾ ə
senyores	s ə . ɲ ˈo . ɾ ə s
senyoret	s ə . ɲ u . ɾ ˈɛ t
senyoreta	s ə . ɲ u . ɾ ˈɛ . t ə
senyorial	s ə . ɲ u . ɾ i . ˈa l
senyorials	s ə . ɲ u . ɾ i . ˈa l s
senyors	s ə . ɲ ˈo s
senzill	s ə n . z ˈi ʎ
senzilla	s ə n . z ˈi . ʎ ə
senzillament	s ə n . z ˈi . ʎ ə . m ˈe n 
senzilles	s ə n . z ˈi . ʎ ə s
separa	s ə . p ˈa . ɾ ə
separació	s ə . p ə . ɾ ə . s i . ˈo
separacions	s ə . p ə . ɾ ə . s i . ˈo n s
separadament	s ə . p ə . ɾ ˈa . ð ə . m ˈe n 
separades	s ə . p ə . ɾ ˈa . ð ə s
separar	s ə . p ə . ɾ ˈa
separar-nos	s ə . p ə . ɾ ˈa ɾ n u s
separar-se	s ə . p ə . ɾ ˈa ɾ s ə
separaven	s ə . p ə . ɾ ˈa . b ə n
separàvem	s ə . p ə . ɾ ˈa . b ə m
separem	s ə . p ə . ɾ ˈɛ m
separen	s ə . p ˈa . ɾ ə n
sepulcral	s ə . p u l . k ɾ ˈa l
seqüència	s ə . k w ˈɛ n . s i . ə
seqüències	s ə . k w ˈɛ n . s i . ə s
seqüeles	s ə . k w ˈɛ . l ə s
sequaços	s ə . k w ˈa . s u s
seques	s ˈɛ . k ə s
s'equivoquen	s ə . k i . b ˈɔ . k ə n
ser	s ˈe
serè	s ə . ɾ ˈɛ
seríem	s ə . ɾ ˈi . ə m
seran	s ə . ɾ ˈa n
serà	s ə . ɾ ˈa
seràs	s ə . ɾ ˈa s
serem	s ə . ɾ ˈɛ m
serena	s ə . ɾ ˈɛ . n ə
serenos	s ə . ɾ ˈɛ . n u s
serens	s ə . ɾ ˈɛ n s
sereu	s ə . ɾ ˈɛ w
sergi	s ˈe ɾ . ʒ i
sergio	s ˈe ɾ . x i . o
ser-hi	s ˈe ɾ i
ser-ho	s ˈe ɾ u
seria	s ə . ɾ ˈi . ə
seriós	s ə . ɾ i . ˈo s
serie	s ə . ɾ ˈi . ə
serien	s ə . ɾ ˈi . ə n
seriosament	s ə . ɾ i . ˈo . z ə . m ˈe n 
seriositat	s ə . ɾ i . u . z i . t ˈa t
seriosos	s ə . ɾ i . ˈo . z u s
serp	s ˈe ɾ . p ə_
serp	s ˈe ɾ . p ə_
serpentejant	s ə ɾ . p ə n . t ə . ʒ ˈa n 
serps	s ˈe ɾ p s
serra	s ˈɛ . r ə
serralada	s ə . r ə . l ˈa . ð ə
serralades	s ə . r ə . l ˈa . ð ə s
serrat	s ə . r ˈa t
serro	s ˈɛ . r u
sers	s ˈe s
servei	s ə ɾ . b ˈɛ j
serveis	s ə ɾ . b ˈɛ j s
serveix	s ə ɾ . b ˈɛ ʃ
serveixen	s ə ɾ . b ˈɛ ʃ ə n
serveixi	s ə ɾ . b ˈɛ ʃ i
serveixin	s ə ɾ . b ˈɛ ʃ i n
servents	s ə ɾ . b ˈe n s
servia	s ə ɾ . b ˈi . ə
servidor	s ə ɾ . b i . d ˈo
servidors	s ə ɾ . b i . d ˈo s
servien	s ə ɾ . b ˈi . ə n
servim	s ə ɾ . b ˈi m
servir	s ə ɾ . b ˈi
serviran	s ə ɾ . b i . ɾ ˈa n
servirà	s ə ɾ . b i . ɾ ˈa
s'escampa	s ə s . k ˈa m . p ə
s'escapa	s ə s . k ˈa . p ə
s'escapava	s ə s . k ə . p ˈa . b ə
s'escindís	s ə s . s i n . d ˈi s
s'escola	s ə s . k ˈɔ . l ə
s'escoltà	s ə s . k u l . t ˈa
s'escolten	s ə s . k ˈɔ l . t ə n
s'escriguin	s ə s . k ɾ ˈi . g i n
s'escriu	s ə s . k ɾ ˈi w
s'esforça	s ə s . f ˈɔ ɾ . s ə
s'esforçava	s ə s . f u ɾ . s ˈa . b ə
s'esgoten	s ə s . g ˈɔ . t ə n
s'esmuny	s ə s . m ˈu ɲ
s'espantin	s ə s . p ˈa n . t i n
s'especifiquen	s ə s . p ə . s i . f ˈi . k ə n
s'espera	s ə s . p ˈe . ɾ ə
s'esperava	s ə s . p ə . ɾ ˈa . b ə
s'espolsa	s ə s . p ˈɔ l . s ə
sessió	s ə . s i . ˈo
sessions	s ə . s i . ˈo n s
s'estarrufa	s ə s . t ə . r ˈu . f ə
s'estava	s ə s . t ˈa . b ə
s'està	s ə s . t ˈa
s'estenia	s ə s . t ə . n ˈi . ə
s'estima	s ə s . t ˈi . m ə
s'estimen	s ə s . t ˈi . m ə n
s'estipula	s ə s . t i . p ˈu . l ə
s'estira	s ə s . t ˈi . ɾ ə
s'estirà	s ə s . t i . ɾ ˈa
s'estiri	s ə s . t ˈi . ɾ i
s'esvaïa	s ə s . b ə . ˈi . ə
s'esvaeix	s ə s . b ə . ˈɛ ʃ
set	s ˈɛ t
se't	s ˈe t
setè	s ə . t ˈɛ
setanta	s ə . t ˈa n . t ə
setanta-cinc	s ə . t ˈa n . t ə_cinc
setanta-cinc	s ə . t ˈa n . t ə_s ˈi n k
setanta-dos	s ə . t ˈa n . t ə_dos
setanta-dos	s ə . t ˈa n . t ə_d ˈo s
setanta-nou	s ə . t ˈa n . t ə_nou
setanta-nou	s ə . t ˈa n . t ə_n ˈɔ w
setanta-quatre	s ə . t ˈa n . t ə_quatre
setanta-quatre	s ə . t ˈa n . t ə_k w ˈa . t ɾ ə
setanta-set	s ə . t ˈa n . t ə_set
setanta-set	s ə . t ˈa n . t ə_s ˈɛ t
setanta-sis	s ə . t ˈa n . t ə_sis
setanta-sis	s ə . t ˈa n . t ə_s ˈi s
setanta-tres	s ə . t ˈa n . t ə_tres
setanta-tres	s ə . t ˈa n . t ə_t ɾ ˈɛ s
setanta-u	s ə . t ˈa n . t ə_u
setanta-u	s ə . t ˈa n . t ə_ˈu
setanta-un	s ə . t ˈa n . t ə_un
setanta-un	s ə . t ˈa n . t ə_ˈu n
setanta-vuit	s ə . t ˈa n . t ə_vuit
setanta-vuit	s ə . t ˈa n . t ə_b ˈu j t
set-centes	s ˈɛ t_centes
set-centes	s ˈɛ t_s ˈe n . t ə s
set-cents	s ˈɛ t_cents
set-cents	s ˈɛ t_s ˈe n s
setembre	s ə . t ˈe m . b ɾ ə
setena	s ə . t ˈɛ . n ə
setmana	s ə d . m ˈa . n ə
setmanal	s ə d . m ə . n ˈa l
setmanalment	s ə d . m ə . n ˈa l . m ˈe n 
setmanes	s ə d . m ˈa . n ə s
setzè	s ə d . z ˈɛ
setze	s ˈɛ d . z ə
setzena	s ə d . z ˈɛ . n ə
seu	s ˈe w
seure	s ˈe w . ɾ ə
seus	s ˈe w s
seva	s ˈe . b ə
seves	s ˈe . b ə s
sevi	s ˈe . b i
sevilla	s ə . β ˈi . ʎ ə
sevillà	s ə . β i . ʎ ˈa
sexe	s ˈɛ k . s ə
s'executa	s ə k . s ə . k ˈu . t ə
s'executaran	s ə k . s ə . k u . t ə . ɾ ˈa n
s'executen	s ə k . s ə . k ˈu . t ə n
sexes	s ˈɛ k . s ə s
sexi	s ˈɛ k . s i
sexistes	s ə k . s ˈi s . t ə s
s'expandeix	s ə k s . p ə n . d ˈɛ ʃ
s'expandeixen	s ə k s . p ə n . d ˈɛ ʃ ə n
s'explica	s ə k s . p l ˈi . k ə
s'exporti	s ə k s . p ˈɔ ɾ . t i
s'exposa	s ə k s . p ˈɔ . z ə
